645,大化,TAIKA,たいか
650,白雉,HAKUCHI,はくち
686,朱鳥,SHUCHO,しゅちょう
701,大宝,TAIHO,たいほう
704,慶雲,KEIUN,けいうん
708,和銅,WADO,わどう
715,霊亀,REIKI,れいき
717,養老,YORO,ようろう
724,神亀,JINKI,じんき
729,天平,TEMPYO,てんぴょう
749,天平感宝,TEMPYOKAMPO,てんぴょうかんぽう
749,天平勝宝,TEMPYOSHOHO,てんぴょうしょうほう
757,天平宝字,TEMPYOHOJI,てんぴょうほうじ
765,天平神護,TEMPYOJINGO,てんぴょうじんご
767,神護景雲,JINGOKEIUN,じんごけいうん
770,宝亀,HOKI,ほうき
781,天応,TENNO,てんのう
782,延暦,ENRYAKU,えんりゃく
806,大同,DAIDO,だいどう
810,弘仁,KONIN,こうにん
824,天長,TENCHO,てんちょう
834,承和,JOWA,じょうわ
848,嘉祥,KASHO,かしょう
851,仁寿,NINJU,にんじゅ
854,斉衡,SAIKO,さいこう
857,天安,TENAN,てんあん
859,貞観,JOGAN,じょうがん
877,元慶,GANGYO,がんぎょう
885,仁和,NINNA,にんな
889,寛平,KAMPYO,かんぴょう
898,昌泰,SHOTAI,しょうたい
901,延喜,ENGI,えんぎ
923,延長,ENCHO,えんちょう
931,承平,JOHEI,じょうへい
938,天慶,TENGYO,てんぎょう
947,天暦,TENRYAKU,てんりゃく
957,天徳,TENTOKU,てんとく
961,応和,OWA,おうわ
964,康保,KOHO,こうほう
968,安和,ANNA,あんな
970,天禄,TENROKU,てんろく
973,天延,TENEN,てんえん
976,貞元,JOGEN,じょうげん
978,天元,TENGEN,てんげん
983,永観,EIKAN,えいかん
984,寛和,KANNA,かんな
987,永延,EIEN,えいえん
989,永祚,EISO,えいそ
990,正暦,SHORYAKU,しょうりゃく
995,長徳,CHOTOKU,ちょうとく
999,長保,CHOHO,ちょうほ
1004,寛弘,KANKO,かんこう
1012,長和,CHOWA,ちょうわ
1017,寛仁,KANNIN,かんにん
1021,治安,JIAN,じあん
1024,万寿,MANJU,まんじゅ
1028,長元,CHOGEN,ちょうげん
1037,長暦,CHORYAKU,ちょうりゃく
1040,長久,CHOKYU,ちょうきゅう
1044,寛徳,KANTOKU,かんとく
1046,永承,EISHO,えいしょう
1053,天喜,TENGI,てんぎ
1058,康平,KOHEI,こうへい
1065,治暦,JIRYAKU,じりゃく
1069,延久,ENKYU,えんきゅう
1074,承保,SHOHO,しょうほう
1077,承暦,SHORYAKU,しょうりゃく
1081,永保,EIHO,えいほ
1084,応徳,OTOKU,おうとく
1087,寛治,KANJI,かんじ
1094,嘉保,KAHO,かほう
1096,永長,EICHO,えいちょう
1097,承徳,SHOTOKU,しょうとく
1099,康和,KOWA,こうわ
1104,長治,CHOJI,ちょうじ
1106,嘉承,KAJO,かじょう
1108,天仁,TENNIN,てんにん
1110,天永,TENEI,てんえい
1113,永久,EIKYU,えいきゅう
1118,元永,GENEI,げんえい
1120,保安,HOAN,ほうあん
1124,天治,TENJI,てんじ
1126,大治,TAIJI,たいじ
1131,天承,TENSHO,てんしょう
1132,長承,CHOSHO,ちょうしょう
1135,保延,HOEN,ほうえん
1141,永治,EIJI,えいじ
1142,康治,KOJI,こうじ
1144,天養,TENYO,てんよう
1145,久安,KYUAN,きゅうあん
1151,仁平,NIMPYO,にんぴょう
1154,久寿,KYUJU,きゅうじゅ
1156,保元,HOGEN,ほうげん
1159,平治,HEIJI,へいじ
1160,永暦,EIRYAKU,えいりゃく
1161,応保,OHO,おうほ
1163,長寛,CHOKAN,ちょうかん
1165,永万,EIMAN,えいまん
1166,仁安,NINAN,にんあん
1169,嘉応,KAO,かおう
1171,承安,JOAN,じょうあん
1175,安元,ANGEN,あんげん
1177,治承,JISHO,じしょう
1181,養和,YOWA,ようわ
1182,寿永,JUEI,じゅえい
1184,元暦,GENRYAKU,げんりゃく
1185,文治,BUNJI,ぶんじ
1190,建久,KENKYU,けんきゅう
1199,正治,SHOJI,しょうじ
1201,建仁,KENNIN,けんにん
1204,元久,GENKYU,げんきゅう
1206,建永,KENEI,けんえい
1207,承元,SHOGEN,しょうげん
1211,建暦,KENRYAKU,けんりゃく
1213,健保,KEMPO,けんぽ
1219,承久,JOKYU,じょうきゅう
1222,貞応,JOO,じょうおう
1224,元仁,GENNIN,げんにん
1225,嘉禄,KAROKU,かろく
1227,安貞,ANTEI,あんてい
1229,寛喜,KANGI,かんぎ
1232,貞永,JOEI,じょうえい
1233,天福,TEMPUKU,てんぷく
1234,文暦,BUNRYAKU,ぶんりゃく
1235,嘉禎,KATEI,かてい
1238,暦仁,RYAKUNIN,りゃくにん
1239,延応,ENNO,えんのう
1240,仁治,NINJI,にんじ
1243,寛元,KANGEN,かんげん
1247,宝治,HOJI,ほうじ
1249,建長,KENCHO,けんちょう
1256,康元,KOGEN,こうげん
1257,正嘉,SHOKA,しょうか
1259,正元,SHOGEN,しょうげん
1260,文応,BUNO,ぶんおう
1261,弘長,KOCHO,こうちょう
1264,文永,BUNEI,ぶんえい
1275,建治,KENJI,けんじ
1278,弘安,KOAN,こうあん
1288,正応,SHOO,しょうおう
1293,永仁,EININ,えいにん
1299,正安,SHOAN,しょうあん
1302,乾元,KENGEN,けんげん
1303,嘉元,KAGEN,かげん
1306,徳治,TOKUJI,とくじ
1308,延慶,ENKYO,えんきょう
1311,応長,OCHO,おうちょう
1312,正和,SHOWA,しょうわ
1317,文保,BUMPO,ぶんぽ
1319,元応,GENO,げんおう
1321,元亨,GENKO,げんこう
1324,正中,SHOCHU,しょうちゅう
1326,嘉暦,KARYAKU,かりゃく
1329,元徳,GENTOKU,げんとく
1331,元弘,GENKO,げんこう
1329,元徳,GENTOKU,げんとく
1332,正慶,SHOKYO,しょうきょう
1334,建武,KEMMU,けんむ
1338,暦応,RYAKUO,りゃくおう
1342,康永,KOEI,こうえい
1345,貞和,JOWA,じょうわ
1350,観応,KANNO,かんのう
1352,文和,BUNNA,ぶんな
1356,延文,EMBUN,えんぶん
1361,康安,KOAN,こうあん
1362,貞治,JOJI,じょうじ
1368,応安,OAN,おうあん
1375,永和,EIWA,えいわ
1379,康暦,KORYAKU,こうりゃく
1381,永徳,EITOKU,えいとく
1384,至徳,SHITOKU,しとく
1387,嘉慶,KAKYO,かきょう
1389,康応,KOO,こうおう
1390,明徳,MEITOKU,めいとく
1428,応永,OEI,おうえい
1429,永享,EIKYO,えいきょう
1441,嘉吉,KAKITSU,かきつ
1444,文安,BUNAN,ぶんあん
1449,宝徳,HOTOKU,ほうとく
1455,康正,KOSHO,こうしょう
1457,長禄,CHOROKU,ちょうろく
1460,寛正,KANSHO,かんしょう
1466,文正,BUNSHO,ぶんしょう
1467,応仁,ONIN,おうにん
1469,文明,BUMMEI,ぶんめい
1487,長享,CHOKYO,ちょうきょう
1489,延徳,ENTOKU,えんとく
1492,明応,MEIO,めいおう
1501,文亀,BUNKI,ぶんき
1504,永正,EISHO,えいしょう
1521,大永,TAIEI,たいえい
1528,享禄,KYOROKU,きょうろく
1532,天文,TEMBUN,てんぶん
1555,弘治,KOJI,こうじ
1558,永禄,EIROKU,えいろく
1570,元亀,GENKI,げんき
1573,天正,TENSHO,てんしょう
1592,文禄,BUNROKU,ぶんろく
1596,慶長,KEICHO,けいちょう
1615,元和,GENNA,げんな
1624,寛永,KANEI,かんえい
1644,正保,SHOHO,しょうほ
1648,慶安,KEIAN,けいあん
1652,承応,JOO,じょうおう
1655,明暦,MEIREKI,めいれき
1658,万治,MANJI,まんじ
1661,寛文,KAMBUN,かんぶん
1673,延宝,EMPO,えんぽう
1681,天和,TENNA,てんな
1684,貞享,JOKYO,じょうきょう
1688,元禄,GENROKU,げんろく
1704,宝永,HOEI,ほうえい
1711,正徳,SHOTOKU,しょうとく
1816,享保,KYOHO,きょうほう
1736,元文,GEMBUN,げんぶん
1741,寛保,KAMPO,かんぽう
1744,延享,ENKYO,えんきょう
1748,寛延,KANEN,かんえん
1751,宝暦,HOREKI,ほうれき
1764,明和,MEIWA,めいわ
1772,安永,ANEI,あんえい
1781,天明,TEMMEI,てんめい
1789,寛政,KANSEI,かんせい
1801,享和,KYOWA,きょうわ
1804,文化,BUNKA,ぶんか
1818,文政,BUNSEI,ぶんせい
1830,天保,TEMPO,てんぽう
1844,弘化,KOKA,こうか
1848,嘉永,KAEI,かえい
1854,安政,ANSEI,あんせい
1860,万延,MANEN,まんえん
1861,文久,BUNKYU,ぶんきゅう
1864,元治,GENJI,げんじ
1865,慶応,KEIO,けいおう
1868,明治,MEIJI,めいじ
1912,大正,TAISHO,たいしょう
1926,昭和,SHOWA,しょうわ
1989,平成,HEISEI,へいせい
2019,令和,REIWA,れいわ
